gene,DK20193B_01,DK20193B_02,DK20193B_03,DK20193B_04,DK20193B_05,DK20193B_06,DK20193B_07,DK20193B_08,DK20193B_09,DK20193B_10,DK20193B_11
PDE4D,3.40618274494877,4.63968536923004,5.02080777067485,3.69690798054795,6.04490693387303,3.26462619255056,4.51967377494847,5.8936340876204,4.79567406700052,3.23921104408886,3.72324741181794
PDE4DIP,0.5210856690733,0.85174768447177,0.813276760711724,0.522056754607291,0.292030662133371,0.544832751456452,1.03714513108757,0.235205659706171,1.0357457601197,0.743312931469298,0.213596606596093
PDE5A,1.00250649683211,4.00561495109718,3.47699379168212,4.68708216312754,2.24732824898858,0.349397680931151,3.45859483233358,0.905015109574811,1.99265095014587,5.72018067050289,1.09582485707676
PDE6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE6B,3.42449555540548,5.864106177884,3.05413191580222,1.47037602062205,3.29002453543804,1.79027887978579,4.28431749081522,1.32491633867163,4.8619737084798,2.44246961792184,4.41170502656079
PDE6C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE6D,15.6613979465987,19.1996636469529,32.5910606673144,13.7292612062441,15.3598826383443,11.257897867689,23.3787987135013,28.2767280282463,13.6192319689838,16.7553825256265,16.049287355636
PDE6G,3.59862244805321,0.0,3.74433121880836,1.80266438686432,4.03353290502855,1.88131000926642,7.16253386368953,3.24866492081065,5.36465234613619,2.56666298832465,1.4751001398516
PDE6H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE7A,18.6671416597325,22.2607873186089,27.1188736411538,17.6433296195889,18.1597181943482,13.6256664914839,24.1151962037682,22.2571026017837,20.302241352562,16.3285595177915,18.4797947244386
PDE7B,0.0,1.41731320653517,0.902198240581632,1.30305831120283,3.40158529562738,0.906604934853469,0.690326263602673,0.391383614925954,1.29261532305268,0.618438566706031,1.77713011094057
PDE8A,5.36486822845299,8.44443263287939,7.44279007965279,10.1525248495528,12.6946131321866,3.73957181014981,9.01696835866828,4.3050199767353,10.0711603428485,5.10188140711394,4.3981929131563
